"Site","Year","Month","Temp"
"Lake Eustis (FL)",2003,3,22.04
"Lake Eustis (FL)",2003,4,21.71
"Lake Eustis (FL)",2003,5,29.22
"Lake Eustis (FL)",2003,6,29.36
"Lake Eustis (FL)",2003,7,29.16
"Lake Eustis (FL)",2003,8,28.71
"Lake Eustis (FL)",2003,9,28.06
"Lake Eustis (FL)",2003,10,23.96
"Lake Eustis (FL)",2003,11,21.42
"Lake Eustis (FL)",2003,12,15.23
"Lake Eustis (FL)",2004,1,14.35
"Lake Eustis (FL)",2004,2,17.84
"Lake Eustis (FL)",2004,3,20.13
"Lake Eustis (FL)",2004,4,21.91
"Lake Eustis (FL)",2004,5,26.44
"Lake Eustis (FL)",2004,6,29.55
"Lake Eustis (FL)",2004,7,27.84
"Lake Eustis (FL)",2004,8,29.98
"Lake Eustis (FL)",2004,9,25.12
"Lake Eustis (FL)",2004,10,24.15
"Lake Eustis (FL)",2004,11,21.66
"Lake Eustis (FL)",2004,12,13.33
"Lake Eustis (FL)",2005,1,14.25
"Lake Eustis (FL)",2005,2,17.57
"Lake Eustis (FL)",2005,3,19.75
"Lake Eustis (FL)",2005,4,20.12
"Lake Eustis (FL)",2005,5,26.84
"Lake Eustis (FL)",2005,6,28.4
"Lake Eustis (FL)",2005,7,30.09
"Lake Eustis (FL)",2005,8,27.8
"Lake Eustis (FL)",2005,9,27.95
"Lake Eustis (FL)",2005,10,21.86
"Lake Eustis (FL)",2005,11,22.05
"Lake Eustis (FL)",2005,12,13.2
"Lake Eustis (FL)",2006,1,17.09
"Lake Eustis (FL)",2006,2,17.41
"Lake Eustis (FL)",2006,3,21.68
"Lake Eustis (FL)",2006,4,23.69
"Lake Eustis (FL)",2006,5,26.12
"Lake Eustis (FL)",2006,6,28.41
"Lake Eustis (FL)",2006,7,29.88
"Lake Eustis (FL)",2006,8,29.33
"Lake Eustis (FL)",2006,9,28.65
"Lake Eustis (FL)",2006,10,23.41
"Lake Eustis (FL)",2006,11,17.38
"Lake Eustis (FL)",2006,12,18.24
"Lake Eustis (FL)",2007,1,18.56
"Lake Eustis (FL)",2007,2,13.05
"Lake Eustis (FL)",2007,3,18.57
"Lake Eustis (FL)",2007,4,19.9
"Lake Eustis (FL)",2007,5,23.95
"Lake Eustis (FL)",2007,6,28.3
"Lake Eustis (FL)",2007,7,28.22
"Lake Eustis (FL)",2007,8,30.12
"Lake Eustis (FL)",2007,9,27.27
"Lake Eustis (FL)",2007,10,25.51
"Lake Eustis (FL)",2007,11,18.34
"Lake Eustis (FL)",2007,12,17.21
"Lake Eustis (FL)",2008,1,14.57
"Lake Eustis (FL)",2008,2,18.19
"Lake Eustis (FL)",2008,3,20.61
"Lake Eustis (FL)",2008,4,22.15
"Lake Eustis (FL)",2008,5,26.16
"Lake Eustis (FL)",2008,6,28.49
"Lake Eustis (FL)",2008,7,28.57
"Lake Eustis (FL)",2008,8,26.61
"Lake Eustis (FL)",2008,9,29.03
"Lake Eustis (FL)",2008,10,18.97
"Lake Eustis (FL)",2008,11,18.27
"Lake Eustis (FL)",2008,12,16.24
"Lake Eustis (FL)",2009,1,14.38
"Lake Eustis (FL)",2009,2,17.73
"Lake Eustis (FL)",2009,3,22.53
"Lake Eustis (FL)",2009,4,21.82
"Lake Eustis (FL)",2009,5,25.57
"Lake Eustis (FL)",2009,6,29.47
"Lake Eustis (FL)",2009,7,29.53
"Lake Eustis (FL)",2009,8,29.11
"Lake Eustis (FL)",2009,9,28.26
"Lake Eustis (FL)",2009,10,30.34
"Lake Eustis (FL)",2009,11,21.95
"Lake Eustis (FL)",2009,12,19.07
"Lake Eustis (FL)",2010,1,8.43
"Lake Eustis (FL)",2010,2,12.02
"Lake Eustis (FL)",2010,3,15.1
"Lake Eustis (FL)",2010,4,23.1
"Lake Eustis (FL)",2010,5,27.33
"Lake Eustis (FL)",2010,6,29.86
"Lake Eustis (FL)",2010,7,30.67
"Lake Eustis (FL)",2010,8,29.88
"Lake Eustis (FL)",2010,9,27.94
"Lake Eustis (FL)",2010,10,25.28
"Lake Eustis (FL)",2010,11,24.57
"Lake Eustis (FL)",2010,12,12.99
"Lake Eustis (FL)",2011,1,14.48
"Lake Eustis (FL)",2011,2,16.64
"Lake Eustis (FL)",2011,3,21.66
"Lake Eustis (FL)",2011,3,22.98
"Lake Eustis (FL)",2011,4,NA
"Lake Eustis (FL)",2011,5,26.83
"Lake Eustis (FL)",2011,6,28.99
"Lake Eustis (FL)",2011,7,30.59
"Lake Eustis (FL)",2011,8,29.83
"Lake Eustis (FL)",2011,9,29.26
"Lake Eustis (FL)",2011,10,24.78
"Lake Eustis (FL)",2011,11,18.98
"Lake Eustis (FL)",2011,12,18.05
"Lake Eustis (FL)",2012,1,15.01
"Lake Eustis (FL)",2012,2,18.85
"Lake Eustis (FL)",2012,3,19.76
"Lake Eustis (FL)",2012,4,25.03
"Lake Eustis (FL)",2012,5,27.01
"Lake Eustis (FL)",2012,6,28.21
"Lake Eustis (FL)",2012,7,31.52
"Lake Eustis (FL)",2012,8,30.35
"Lake Eustis (FL)",2012,9,28.18
"Lake Eustis (FL)",2012,10,26.09
"Lake Eustis (FL)",2012,11,19.17
"Lake Eustis (FL)",2012,12,20.27
"Lake Eustis (FL)",2013,1,20.62
"Lake Eustis (FL)",2013,2,19.26
"Lake Eustis (FL)",2013,3,16.63
"Lake Eustis (FL)",2013,4,25.3
"Lake Eustis (FL)",2013,5,25.29
"Lake Eustis (FL)",2013,6,28.45
"Lake Eustis (FL)",2013,7,28.98
"Lake Eustis (FL)",2013,8,32.52
"Lake Eustis (FL)",2013,9,30.1
"Lake Eustis (FL)",2013,10,25.48
"Lake Eustis (FL)",2013,11,21.45
"Lake Eustis (FL)",2013,12,22.39
"Lake Eustis (FL)",2014,1,15.85
"Lake Eustis (FL)",2014,2,17.16
"Lake Eustis (FL)",2014,3,20.2
"Lake Eustis (FL)",2014,4,23.61
"Lake Eustis (FL)",2014,5,26.6
"Lake Eustis (FL)",2014,6,31.86
"Lake Eustis (FL)",2014,7,30.27
"Lake Eustis (FL)",2014,8,30.02
"Lake Eustis (FL)",2014,9,30.3
"Lake Eustis (FL)",2014,10,26.9
"Lake Eustis (FL)",2014,11,19.65
"Lake Eustis (FL)",2014,12,16.23
"Lake Eustis (FL)",2015,1,15.96
"Lake Eustis (FL)",2015,2,15.47
"Lake Eustis (FL)",2015,3,23.96
"Lake Eustis (FL)",2015,4,26.53
"Lake Eustis (FL)",2015,5,30.5
"Lake Eustis (FL)",2015,6,31.5
"Lake Eustis (FL)",2015,7,30.22
"Lake Eustis (FL)",2015,8,28.1
"Lake Eustis (FL)",2015,9,28.33
"Lake Eustis (FL)",2015,10,26.5
"Lake Eustis (FL)",2015,11,NA
"Lake Eustis (FL)",2015,12,21.77
"Lake Eustis (FL)",2016,1,NA
"Lake Eustis (FL)",2016,2,15.33
"Lake Eustis (FL)",2016,3,22.7
"Lake Eustis (FL)",2016,4,22.93
"Lake Griffin (FL)",1999,1,NA
"Lake Griffin (FL)",1999,2,16.9
"Lake Griffin (FL)",1999,3,24.26
"Lake Griffin (FL)",1999,4,25
"Lake Griffin (FL)",1999,5,26.96
"Lake Griffin (FL)",1999,6,32.72
"Lake Griffin (FL)",1999,7,32.22
"Lake Griffin (FL)",1999,8,31.52
"Lake Griffin (FL)",1999,9,26.57
"Lake Griffin (FL)",1999,10,28.16
"Lake Griffin (FL)",1999,11,20.47
"Lake Griffin (FL)",1999,12,20.43
"Lake Griffin (FL)",2000,1,20.55
"Lake Griffin (FL)",2000,2,18.53
"Lake Griffin (FL)",2000,3,20.98
"Lake Griffin (FL)",2000,4,21.9
"Lake Griffin (FL)",2000,5,27.73
"Lake Griffin (FL)",2000,6,30.47
"Lake Griffin (FL)",2000,7,30.85
"Lake Griffin (FL)",2000,8,29.13
"Lake Griffin (FL)",2000,9,29.11
"Lake Griffin (FL)",2000,10,19.28
"Lake Griffin (FL)",2000,11,18.61
"Lake Griffin (FL)",2000,12,17.6
"Lake Griffin (FL)",2001,1,16.35
"Lake Griffin (FL)",2001,2,20.49
"Lake Griffin (FL)",2001,3,17.52
"Lake Griffin (FL)",2001,4,26.56
"Lake Griffin (FL)",2001,5,28.09
"Lake Griffin (FL)",2001,6,28.56
"Lake Griffin (FL)",2001,7,28.63
"Lake Griffin (FL)",2001,8,30.33
"Lake Griffin (FL)",2001,9,27.49
"Lake Griffin (FL)",2001,10,25.29
"Lake Griffin (FL)",2001,11,NA
"Lake Griffin (FL)",2001,12,23.97
"Lake Griffin (FL)",2002,1,14.22
"Lake Griffin (FL)",2002,2,NA
"Lake Griffin (FL)",2002,3,17.81
"Lake Griffin (FL)",2002,4,NA
"Lake Griffin (FL)",2002,5,25.64
"Lake Griffin (FL)",2002,6,NA
"Lake Griffin (FL)",2002,7,28.13
"Lake Griffin (FL)",2002,8,NA
"Lake Griffin (FL)",2002,9,30
"Lake Griffin (FL)",2002,10,NA
"Lake Griffin (FL)",2002,11,21.31
"Lake Griffin (FL)",2002,12,16.47
"Lake Griffin (FL)",2003,1,12.45
"Lake Griffin (FL)",2003,2,14.9
"Lake Griffin (FL)",2003,3,23.51
"Lake Griffin (FL)",2003,4,22.49
"Lake Griffin (FL)",2003,5,28.62
"Lake Griffin (FL)",2003,6,29.49
"Lake Griffin (FL)",2003,7,28.97
"Lake Griffin (FL)",2003,8,28.52
"Lake Griffin (FL)",2003,9,27.86
"Lake Griffin (FL)",2003,10,24.04
"Lake Griffin (FL)",2003,11,22.4
"Lake Griffin (FL)",2003,12,13.86
"Lake Griffin (FL)",2004,1,13.78
"Lake Griffin (FL)",2004,2,17.96
"Lake Griffin (FL)",2004,3,19.47
"Lake Griffin (FL)",2004,4,22.73
"Lake Griffin (FL)",2004,5,26.23
"Lake Griffin (FL)",2004,6,30.19
"Lake Griffin (FL)",2004,7,28.11
"Lake Griffin (FL)",2004,8,29.13
"Lake Griffin (FL)",2004,9,26.61
"Lake Griffin (FL)",2004,10,24.51
"Lake Griffin (FL)",2004,11,20.61
"Lake Griffin (FL)",2004,12,11.86
"Lake Griffin (FL)",2005,1,13.03
"Lake Griffin (FL)",2005,2,19.44
"Lake Griffin (FL)",2005,3,18.7
"Lake Griffin (FL)",2005,4,21.85
"Lake Griffin (FL)",2005,5,26.9
"Lake Griffin (FL)",2005,6,28.01
"Lake Griffin (FL)",2005,7,30.33
"Lake Griffin (FL)",2005,8,29.9
"Lake Griffin (FL)",2005,9,27.97
"Lake Griffin (FL)",2005,10,18.92
"Lake Griffin (FL)",2005,11,22.55
"Lake Griffin (FL)",2005,12,12.95
"Lake Griffin (FL)",2006,1,16.89
"Lake Griffin (FL)",2006,2,18.02
"Lake Griffin (FL)",2006,3,22.09
"Lake Griffin (FL)",2006,4,24.12
"Lake Griffin (FL)",2006,5,26.7
"Lake Griffin (FL)",2006,6,30.44
"Lake Griffin (FL)",2006,7,30.69
"Lake Griffin (FL)",2006,8,30.2
"Lake Griffin (FL)",2006,9,28.76
"Lake Griffin (FL)",2006,10,23.62
"Lake Griffin (FL)",2006,11,18.52
"Lake Griffin (FL)",2006,12,18.65
"Lake Griffin (FL)",2007,1,17.98
"Lake Griffin (FL)",2007,2,14.94
"Lake Griffin (FL)",2007,3,19
"Lake Griffin (FL)",2007,4,19.76
"Lake Griffin (FL)",2007,5,24.81
"Lake Griffin (FL)",2007,6,30.11
"Lake Griffin (FL)",2007,7,28.33
"Lake Griffin (FL)",2007,8,30.93
"Lake Griffin (FL)",2007,9,27.57
"Lake Griffin (FL)",2007,10,25.54
"Lake Griffin (FL)",2007,11,18.25
"Lake Griffin (FL)",2007,12,16.19
"Lake Griffin (FL)",2008,1,15.49
"Lake Griffin (FL)",2008,2,20.46
"Lake Griffin (FL)",2008,3,21.12
"Lake Griffin (FL)",2008,4,22.64
"Lake Griffin (FL)",2008,5,26.23
"Lake Griffin (FL)",2008,6,28.54
"Lake Griffin (FL)",2008,7,29.3
"Lake Griffin (FL)",2008,8,27.85
"Lake Griffin (FL)",2008,9,29.26
"Lake Griffin (FL)",2008,10,16.91
"Lake Griffin (FL)",2008,11,16.39
"Lake Griffin (FL)",2008,12,16.99
"Lake Griffin (FL)",2009,1,14.89
"Lake Griffin (FL)",2009,2,16.08
"Lake Griffin (FL)",2009,3,22.58
"Lake Griffin (FL)",2009,4,22.87
"Lake Griffin (FL)",2009,5,26
"Lake Griffin (FL)",2009,6,30.04
"Lake Griffin (FL)",2009,7,29.98
"Lake Griffin (FL)",2009,8,29.02
"Lake Griffin (FL)",2009,9,29.39
"Lake Griffin (FL)",2009,10,29.24
"Lake Griffin (FL)",2009,11,20.42
"Lake Griffin (FL)",2009,12,17.81
"Lake Griffin (FL)",2010,1,6.74
"Lake Griffin (FL)",2010,2,11.25
"Lake Griffin (FL)",2010,3,16.05
"Lake Griffin (FL)",2010,4,24.09
"Lake Griffin (FL)",2010,5,27.1
"Lake Griffin (FL)",2010,6,29.5
"Lake Griffin (FL)",2010,7,30.92
"Lake Griffin (FL)",2010,8,29.47
"Lake Griffin (FL)",2010,9,29.67
"Lake Griffin (FL)",2010,10,24.02
"Lake Griffin (FL)",2010,11,24.22
"Lake Griffin (FL)",2010,12,8.17
"Lake Griffin (FL)",2011,1,11.42
"Lake Griffin (FL)",2011,2,16.43
"Lake Griffin (FL)",2011,3,21.31
"Lake Griffin (FL)",2011,3,23.07
"Lake Griffin (FL)",2011,4,NA
"Lake Griffin (FL)",2011,5,27.31
"Lake Griffin (FL)",2011,6,29.13
"Lake Griffin (FL)",2011,7,30.38
"Lake Griffin (FL)",2011,8,NA
"Lake Griffin (FL)",2011,9,29.35
"Lake Griffin (FL)",2011,9,30.27
"Lake Griffin (FL)",2011,10,22.89
"Lake Griffin (FL)",2011,11,19.78
"Lake Griffin (FL)",2011,12,18.7
"Lake Griffin (FL)",2012,1,15.79
"Lake Griffin (FL)",2012,2,20.5
"Lake Griffin (FL)",2012,3,19.91
"Lake Griffin (FL)",2012,4,24.38
"Lake Griffin (FL)",2012,5,28.76
"Lake Griffin (FL)",2012,6,29.15
"Lake Griffin (FL)",2012,7,30.09
"Lake Griffin (FL)",2012,8,29.6
"Lake Griffin (FL)",2012,9,28.44
"Lake Griffin (FL)",2012,10,25.65
"Lake Griffin (FL)",2012,11,20.32
"Lake Griffin (FL)",2012,12,20.52
"Lake Griffin (FL)",2013,1,21.99
"Lake Griffin (FL)",2013,2,18.88
"Lake Griffin (FL)",2013,3,17.32
"Lake Griffin (FL)",2013,4,24.73
"Lake Griffin (FL)",2013,5,26
"Lake Griffin (FL)",2013,6,27.71
"Lake Griffin (FL)",2013,7,29.26
"Lake Griffin (FL)",2013,8,30.18
"Lake Griffin (FL)",2013,9,29.3
"Lake Griffin (FL)",2013,10,26.14
"Lake Griffin (FL)",2013,11,21.74
"Lake Griffin (FL)",2013,12,20.44
"Lake Griffin (FL)",2014,1,15.19
"Lake Griffin (FL)",2014,2,15.45
"Lake Griffin (FL)",2014,3,18.6
"Lake Griffin (FL)",2014,4,24.47
"Lake Griffin (FL)",2014,5,26.1
"Lake Griffin (FL)",2014,6,29.61
"Lake Griffin (FL)",2014,7,29.99
"Lake Griffin (FL)",2014,8,28.98
"Lake Griffin (FL)",2014,9,29.6
"Lake Griffin (FL)",2014,10,28.2
"Lake Griffin (FL)",2014,11,20.09
"Lake Griffin (FL)",2014,12,15.89
"Lake Griffin (FL)",2015,1,15.83
"Lake Griffin (FL)",2015,2,15.06
"Lake Griffin (FL)",2015,3,24.12
"Lake Griffin (FL)",2015,4,26.65
"Lake Griffin (FL)",2015,5,29.17
"Lake Griffin (FL)",2015,6,30.2
"Lake Griffin (FL)",2015,7,31.54
"Lake Griffin (FL)",2015,8,31.21
"Lake Griffin (FL)",2015,9,28.43
"Lake Griffin (FL)",2015,10,27.1
"Lake Griffin (FL)",2015,11,NA
"Lake Griffin (FL)",2015,12,21.08
"Lake Griffin (FL)",2016,1,NA
"Lake Griffin (FL)",2016,2,14.6
"Lake Griffin (FL)",2016,3,23.64
"Lake Griffin (FL)",2016,4,23.59
"Lake Harris (FL)",1998,2,17.82
"Lake Harris (FL)",1998,3,NA
"Lake Harris (FL)",1998,4,NA
"Lake Harris (FL)",1998,5,NA
"Lake Harris (FL)",1998,6,NA
"Lake Harris (FL)",1998,7,NA
"Lake Harris (FL)",1998,8,NA
"Lake Harris (FL)",1998,9,NA
"Lake Harris (FL)",1998,10,NA
"Lake Harris (FL)",1998,11,NA
"Lake Harris (FL)",1998,12,NA
"Lake Harris (FL)",1999,1,NA
"Lake Harris (FL)",1999,2,16.82
"Lake Harris (FL)",1999,3,NA
"Lake Harris (FL)",1999,4,NA
"Lake Harris (FL)",1999,5,26.32
"Lake Harris (FL)",1999,6,NA
"Lake Harris (FL)",1999,7,NA
"Lake Harris (FL)",1999,8,NA
"Lake Harris (FL)",1999,9,NA
"Lake Harris (FL)",1999,10,26.99
"Lake Harris (FL)",1999,11,21.25
"Lake Harris (FL)",1999,12,18.58
"Lake Harris (FL)",2000,1,17.71
"Lake Harris (FL)",2000,2,17.37
"Lake Harris (FL)",2000,3,20.65
"Lake Harris (FL)",2000,4,20.78
"Lake Harris (FL)",2000,5,25.07
"Lake Harris (FL)",2000,6,28.32
"Lake Harris (FL)",2000,7,29.67
"Lake Harris (FL)",2000,8,29.29
"Lake Harris (FL)",2000,9,28.43
"Lake Harris (FL)",2000,10,21.3
"Lake Harris (FL)",2000,11,21.49
"Lake Harris (FL)",2000,12,17.49
"Lake Harris (FL)",2001,1,12.41
"Lake Harris (FL)",2001,2,18.2
"Lake Harris (FL)",2001,3,18.46
"Lake Harris (FL)",2001,4,23.4
"Lake Harris (FL)",2001,5,24.85
"Lake Harris (FL)",2001,6,28.96
"Lake Harris (FL)",2001,7,27.83
"Lake Harris (FL)",2001,8,29.9
"Lake Harris (FL)",2001,9,25.08
"Lake Harris (FL)",2001,10,24.12
"Lake Harris (FL)",2001,11,NA
"Lake Harris (FL)",2001,12,22.93
"Lake Harris (FL)",2002,1,13.64
"Lake Harris (FL)",2002,2,NA
"Lake Harris (FL)",2002,3,18.91
"Lake Harris (FL)",2002,4,NA
"Lake Harris (FL)",2002,5,27.09
"Lake Harris (FL)",2002,6,NA
"Lake Harris (FL)",2002,7,28.12
"Lake Harris (FL)",2002,8,NA
"Lake Harris (FL)",2002,9,28.49
"Lake Harris (FL)",2002,10,NA
"Lake Harris (FL)",2002,11,18.1
"Lake Harris (FL)",2002,12,NA
"Lake Harris (FL)",2003,1,12.9
"Lake Harris (FL)",2003,2,14.22
"Lake Harris (FL)",2003,3,22.24
"Lake Harris (FL)",2003,4,21.61
"Lake Harris (FL)",2003,5,28.19
"Lake Harris (FL)",2003,6,29.37
"Lake Harris (FL)",2003,7,29.29
"Lake Harris (FL)",2003,8,29.15
"Lake Harris (FL)",2003,9,28.04
"Lake Harris (FL)",2003,10,25.01
"Lake Harris (FL)",2003,11,21.98
"Lake Harris (FL)",2003,12,15.56
"Lake Harris (FL)",2004,1,14.41
"Lake Harris (FL)",2004,2,18.05
"Lake Harris (FL)",2004,3,19.7
"Lake Harris (FL)",2004,4,21.02
"Lake Harris (FL)",2004,5,25.87
"Lake Harris (FL)",2004,6,29.8
"Lake Harris (FL)",2004,7,28.19
"Lake Harris (FL)",2004,8,29.29
"Lake Harris (FL)",2004,9,25.5
"Lake Harris (FL)",2004,10,25.37
"Lake Harris (FL)",2004,11,21.67
"Lake Harris (FL)",2004,12,13.88
"Lake Harris (FL)",2005,1,14.8
"Lake Harris (FL)",2005,2,18.6
"Lake Harris (FL)",2005,3,19.11
"Lake Harris (FL)",2005,4,22.11
"Lake Harris (FL)",2005,5,28.11
"Lake Harris (FL)",2005,6,28.99
"Lake Harris (FL)",2005,7,32.07
"Lake Harris (FL)",2005,8,31.17
"Lake Harris (FL)",2005,9,28.4
"Lake Harris (FL)",2005,10,NA
"Lake Harris (FL)",2005,11,22.85
"Lake Harris (FL)",2005,12,15.26
"Lake Harris (FL)",2006,1,16.8
"Lake Harris (FL)",2006,2,18.41
"Lake Harris (FL)",2006,3,23.03
"Lake Harris (FL)",2006,4,24.51
"Lake Harris (FL)",2006,5,26.8
"Lake Harris (FL)",2006,6,31.47
"Lake Harris (FL)",2006,7,32.76
"Lake Harris (FL)",2006,8,31.18
"Lake Harris (FL)",2006,9,29.16
"Lake Harris (FL)",2006,10,24.02
"Lake Harris (FL)",2006,11,18.12
"Lake Harris (FL)",2006,12,19.32
"Lake Harris (FL)",2007,1,18.54
"Lake Harris (FL)",2007,2,15.09
"Lake Harris (FL)",2007,3,19.32
"Lake Harris (FL)",2007,4,21.42
"Lake Harris (FL)",2007,5,25.02
"Lake Harris (FL)",2007,6,29.73
"Lake Harris (FL)",2007,7,28.78
"Lake Harris (FL)",2007,8,31.25
"Lake Harris (FL)",2007,9,28.36
"Lake Harris (FL)",2007,10,26.05
"Lake Harris (FL)",2007,11,19.5
"Lake Harris (FL)",2007,12,18.62
"Lake Harris (FL)",2008,1,16.03
"Lake Harris (FL)",2008,2,19.08
"Lake Harris (FL)",2008,3,19.85
"Lake Harris (FL)",2008,4,23.76
"Lake Harris (FL)",2008,5,25.88
"Lake Harris (FL)",2008,6,29.5
"Lake Harris (FL)",2008,7,30.67
"Lake Harris (FL)",2008,8,28.68
"Lake Harris (FL)",2008,9,30.3
"Lake Harris (FL)",2008,10,20.93
"Lake Harris (FL)",2008,11,16.65
"Lake Harris (FL)",2008,12,16.98
"Lake Harris (FL)",2009,1,16.49
"Lake Harris (FL)",2009,2,18.19
"Lake Harris (FL)",2009,3,24.16
"Lake Harris (FL)",2009,4,23.83
"Lake Harris (FL)",2009,5,24.87
"Lake Harris (FL)",2009,6,32
"Lake Harris (FL)",2009,7,31.81
"Lake Harris (FL)",2009,8,29.51
"Lake Harris (FL)",2009,9,30.67
"Lake Harris (FL)",2009,10,29.23
"Lake Harris (FL)",2009,11,21.77
"Lake Harris (FL)",2009,12,18.77
"Lake Harris (FL)",2010,1,8.01
"Lake Harris (FL)",2010,2,11.95
"Lake Harris (FL)",2010,3,14.17
"Lake Harris (FL)",2010,4,21.98
"Lake Harris (FL)",2010,5,26.92
"Lake Harris (FL)",2010,6,29.5
"Lake Harris (FL)",2010,7,29.89
"Lake Harris (FL)",2010,8,29.83
"Lake Harris (FL)",2010,9,28.19
"Lake Harris (FL)",2010,10,25.51
"Lake Harris (FL)",2010,11,24.67
"Lake Harris (FL)",2010,12,13.17
"Lake Harris (FL)",2011,1,13.75
"Lake Harris (FL)",2011,2,16.47
"Lake Harris (FL)",2011,3,21.21
"Lake Harris (FL)",2011,3,22.65
"Lake Harris (FL)",2011,4,NA
"Lake Harris (FL)",2011,5,26.62
"Lake Harris (FL)",2011,6,28.47
"Lake Harris (FL)",2011,7,29.61
"Lake Harris (FL)",2011,8,29.1
"Lake Harris (FL)",2011,9,28.96
"Lake Harris (FL)",2011,10,24.29
"Lake Harris (FL)",2011,11,19.39
"Lake Harris (FL)",2011,12,18.23
"Lake Harris (FL)",2012,1,15.26
"Lake Harris (FL)",2012,2,19.04
"Lake Harris (FL)",2012,3,19.45
"Lake Harris (FL)",2012,4,24.66
"Lake Harris (FL)",2012,5,27.37
"Lake Harris (FL)",2012,6,27.85
"Lake Harris (FL)",2012,7,30.59
"Lake Harris (FL)",2012,8,29.45
"Lake Harris (FL)",2012,9,28.04
"Lake Harris (FL)",2012,10,25.82
"Lake Harris (FL)",2012,11,19.24
"Lake Harris (FL)",2012,12,20.15
"Lake Harris (FL)",2013,1,19.83
"Lake Harris (FL)",2013,2,18.74
"Lake Harris (FL)",2013,3,16.18
"Lake Harris (FL)",2013,4,24.79
"Lake Harris (FL)",2013,5,24.7
"Lake Harris (FL)",2013,6,28.33
"Lake Harris (FL)",2013,7,28.58
"Lake Harris (FL)",2013,8,31.01
"Lake Harris (FL)",2013,9,30.31
"Lake Harris (FL)",2013,10,25.32
"Lake Harris (FL)",2013,11,21.69
"Lake Harris (FL)",2013,12,21.55
"Lake Harris (FL)",2014,1,15.84
"Lake Harris (FL)",2014,2,16.82
"Lake Harris (FL)",2014,3,19.56
"Lake Harris (FL)",2014,4,23.68
"Lake Harris (FL)",2014,5,26.24
"Lake Harris (FL)",2014,6,30.39
"Lake Harris (FL)",2014,7,30.1
"Lake Harris (FL)",2014,8,29.4
"Lake Harris (FL)",2014,9,31.69
"Lake Harris (FL)",2014,10,26.35
"Lake Harris (FL)",2014,11,19.49
"Lake Harris (FL)",2014,12,16.04
"Lake Harris (FL)",2015,1,15.97
"Lake Harris (FL)",2015,2,15.74
"Lake Harris (FL)",2015,3,24.18
"Lake Harris (FL)",2015,4,26.76
"Lake Harris (FL)",2015,5,27.66
"Lake Harris (FL)",2015,6,30.35
"Lake Harris (FL)",2015,7,29.81
"Lake Harris (FL)",2015,8,27.58
"Lake Harris (FL)",2015,9,28.24
"Lake Harris (FL)",2015,10,26.64
"Lake Harris (FL)",2015,11,NA
"Lake Harris (FL)",2015,12,21.8
"Lake Harris (FL)",2016,1,NA
"Lake Harris (FL)",2016,2,14.93
"Lake Harris (FL)",2016,3,22.07
"Lake Harris (FL)",2016,4,22.53
"Lake Yale (FL)",1999,2,18.11
"Lake Yale (FL)",1999,3,NA
"Lake Yale (FL)",1999,4,NA
"Lake Yale (FL)",1999,5,31.55
"Lake Yale (FL)",1999,6,NA
"Lake Yale (FL)",1999,7,NA
"Lake Yale (FL)",1999,8,NA
"Lake Yale (FL)",1999,9,NA
"Lake Yale (FL)",1999,10,26.45
"Lake Yale (FL)",1999,11,20.17
"Lake Yale (FL)",1999,12,18.42
"Lake Yale (FL)",2000,1,18.57
"Lake Yale (FL)",2000,2,17.51
"Lake Yale (FL)",2000,3,20.47
"Lake Yale (FL)",2000,4,21.37
"Lake Yale (FL)",2000,5,27.25
"Lake Yale (FL)",2000,6,28.34
"Lake Yale (FL)",2000,7,30.13
"Lake Yale (FL)",2000,8,29.29
"Lake Yale (FL)",2000,9,28.3
"Lake Yale (FL)",2000,10,21.63
"Lake Yale (FL)",2000,11,21.36
"Lake Yale (FL)",2000,12,18.73
"Lake Yale (FL)",2001,1,15.4
"Lake Yale (FL)",2001,2,19.52
"Lake Yale (FL)",2001,3,19.28
"Lake Yale (FL)",2001,4,24.99
"Lake Yale (FL)",2001,5,27.88
"Lake Yale (FL)",2001,6,31.33
"Lake Yale (FL)",2001,7,28.99
"Lake Yale (FL)",2001,8,30.55
"Lake Yale (FL)",2001,9,26.36
"Lake Yale (FL)",2001,10,24.13
"Lake Yale (FL)",2001,11,NA
"Lake Yale (FL)",2001,12,23.94
"Lake Yale (FL)",2002,1,13.83
"Lake Yale (FL)",2002,2,NA
"Lake Yale (FL)",2002,3,20.6
"Lake Yale (FL)",2002,4,NA
"Lake Yale (FL)",2002,5,25.71
"Lake Yale (FL)",2002,6,NA
"Lake Yale (FL)",2002,7,28.46
"Lake Yale (FL)",2002,8,NA
"Lake Yale (FL)",2002,9,30.18
"Lake Yale (FL)",2002,10,NA
"Lake Yale (FL)",2002,11,22.87
"Lake Yale (FL)",2002,12,NA
"Lake Yale (FL)",2003,1,14.01
"Lake Yale (FL)",2003,2,15.21
"Lake Yale (FL)",2003,3,23.84
"Lake Yale (FL)",2003,4,22.71
"Lake Yale (FL)",2003,5,29.12
"Lake Yale (FL)",2003,6,29.88
"Lake Yale (FL)",2003,7,29.79
"Lake Yale (FL)",2003,8,31.42
"Lake Yale (FL)",2003,9,28.14
"Lake Yale (FL)",2003,10,24.96
"Lake Yale (FL)",2003,11,22.43
"Lake Yale (FL)",2003,12,13.13
"Lake Yale (FL)",2004,1,15.36
"Lake Yale (FL)",2004,2,17.77
"Lake Yale (FL)",2004,3,20.12
